date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:01:41	251/251	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2026%20Apr%202024%2001:01:40%20GMT	https://demo.cocobasic.com/volos-wp/demo-1	D:/_WORKS/2024/_capoeira/_blog/blog/demo.cocobasic.com/volos-wp/demo-1.0.delayed	(from )
22:01:41	61443/61443	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20Apr%202024%2001:01:41%20GMT	https://demo.cocobasic.com/volos-wp/demo-1/	D:/_WORKS/2024/_capoeira/_blog/blog/demo.cocobasic.com/volos-wp/demo-1/index.html	(from )
22:01:41	50/50	---MCZ	200	added ('OK')	text/plain	date:Fri,%2026%20Apr%202024%2001:01:41%20GMT	https://demo.cocobasic.com/robots.txt		(from )
22:01:41	28102/28102	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20Apr%202024%2001:01:41%20GMT	https://demo.cocobasic.com/volos-wp/demo-1/great-turbulent-clouds-hearts-of-the-stars-stirred-by-starlight-sky-culture/	D:/_WORKS/2024/_capoeira/_blog/blog/demo.cocobasic.com/volos-wp/demo-1/great-turbulent-clouds-hearts-of-the-stars-stirred-by-starlight-sky-culture/index.html	(from )
22:01:42	115718/115718	---MCZ	200	added ('OK')	text/css	etag:W/%2265ef21b6-1c406%22	https://demo.cocobasic.com/volos-wp/demo-1/wp-content/cache/autoptimize/css/autoptimize_82d02206847dc3ac4b36a82c66a24472.css	D:/_WORKS/2024/_capoeira/_blog/blog/demo.cocobasic.com/volos-wp/demo-1/wp-content/cache/autoptimize/css/autoptimize_82d02206847dc3ac4b36a82c66a24472.css	(from https://demo.cocobasic.com/volos-wp/demo-1/)
22:01:43	173813/173813	---MCZ	200	added ('OK')	text/css	etag:W/%2266217280-2a6f5%22	https://demo.cocobasic.com/volos-wp/demo-1/wp-content/uploads/elementor/css/custom-frontend.min.css	D:/_WORKS/2024/_capoeira/_blog/blog/demo.cocobasic.com/volos-wp/demo-1/wp-content/uploads/elementor/css/custom-frontend.min.css	(from https://demo.cocobasic.com/volos-wp/demo-1/)
22:01:43	1223/1223	---MCZ	200	added ('OK')	text/css	etag:W/%226502c7a9-4c7%22	https://demo.cocobasic.com/volos-wp/demo-1/wp-content/cache/autoptimize/css/autoptimize_single_8af8dd8bebb51418d7b61dbdfc698bed.css	D:/_WORKS/2024/_capoeira/_blog/blog/demo.cocobasic.com/volos-wp/demo-1/wp-content/cache/autoptimize/css/autoptimize_single_8af8dd8bebb51418d7b61dbdfc698bed.css	(from https://demo.cocobasic.com/volos-wp/demo-1/)
22:01:44	24323/24323	---MCZ	200	added ('OK')	text/css	etag:W/%2264d0fdb2-5f03%22	https://demo.cocobasic.com/volos-wp/demo-1/wp-content/cache/autoptimize/css/autoptimize_single_09abaf641e917d6e45555686b7d09752.css	D:/_WORKS/2024/_capoeira/_blog/blog/demo.cocobasic.com/volos-wp/demo-1/wp-content/cache/autoptimize/css/autoptimize_single_09abaf641e917d6e45555686b7d09752.css	(from https://demo.cocobasic.com/volos-wp/demo-1/)
22:01:44	87553/87553	---MCZ	200	added ('OK')	application/javascript	etag:W/%22654bc587-15601%22	https://demo.cocobasic.com/volos-wp/demo-1/wp-includes/js/jquery/jquery.min.js	D:/_WORKS/2024/_capoeira/_blog/blog/demo.cocobasic.com/volos-wp/demo-1/wp-includes/js/jquery/jquery.min.js	(from https://demo.cocobasic.com/volos-wp/demo-1/)
22:01:45	49133/49133	---MCZ	200	added ('OK')	application/json	date:Fri,%2026%20Apr%202024%2001:01:45%20GMT	https://demo.cocobasic.com/volos-wp/demo-1/wp-json/wp/v2/pages/9	D:/_WORKS/2024/_capoeira/_blog/blog/demo.cocobasic.com/volos-wp/demo-1/wp-json/wp/v2/pages/9.json	(from https://demo.cocobasic.com/volos-wp/demo-1/)
